slug,english,arabic,urdu,gender,qfacts_gender,person_ld_gender,namecard_gender,faq_gender_answer,origin,letters,letter_breakdown,meaning_dict,meaning_root,meaning_iuh,mean_dict_marker_placeholder,mean_root_marker_placeholder,mean_iuh_marker_placeholder,bearers_count_json,is_widely_attested_negative,word_count_prose,prose_male_pronouns,prose_female_pronouns,is_duplicate_of,slug_spelling_ok,arabic_ok,urdu_ok,gender_verified,gender_review_needed,content_thin,content_review_needed,famous_bearers_count,bearers_count_visible
aabid,Aabid,عابد,عابد,Male,Male,Male,Male,Aabid is a boy name in Islam. Worshipper.,Arabic,4,Ain · Alif · Ba · Dal,Worshipper.,"ع-ب-د — From the root ʿ-b-d meaning to worship, to serve, to submit. The noun ʿabd denotes a servant or worshipper of God.","The Ain perceives the divine presence with inner sight, the Ba founds a posture of humility, and the Dal becomes a door of return to the Lord. Together with the Alif of origin, the name traces the worshipper's standing before the One.",0,0,0,0,0,1286,2,0,,1,1,1,1,0,0,0,2,2
aabida,Aabida,عابدة,عابدہ,Female,Female,Female,Female,,Arabic,5,Ain · Alif · Ba · Dal · Ta,Devoted worshipper — she who gives her life to worship,ع-ب-د — From the root ʿ-b-d meaning worship and devotion. The feminine ʿābida is the woman wholly given to the service of God.,"The Ain of perceiving opens the heart's eye to the Lord, the Ba lays the foundation of humble service, and the Dal turns as a door of return; the final Ta of completion seals her devotion as a finished, womanly form.",0,0,0,0,0,978,0,9,,1,1,1,1,0,0,0,1,1
aahil,Aahil,أهيل,اہل,Male,Male,Male,Male,"Aahil is a boy name in Islam. Prince, great emperor — the one of vast, imperial dignity.",Arabic,4,Alif · Ha · Ya · Lam,"Prince, great emperor — the one of vast, imperial dignity","To belong, to be worthy, to make oneself a household to a thing. The noun ahl means people, family, the ones who properly inhabit a place.","The Alif of origin sets a regal vertical, the Ha of identity gives the breath of self, the Ya reaches and yearns toward dignity, and the Lam joins these into a princely bearing. The four letters compose a name of upright noble standing.",0,0,0,0,1,822,0,0,,1,1,1,1,0,1,1,0,0
aairah,Aairah,عائرة,عائرہ,Female,Female,Female,Female,"Aairah is a girl name in Islam. Noble, respectful, one who visits — the woman of dignified noble visits.",Arabic,5,Ain · Alif · Ya · Ra · Ta,"Noble, respectful, one who visits — the woman of dignified noble visits","To pass by, to visit, to come and go. The verbal noun carries the sense of one who travels through a place with grace and intent, leaving its presence felt.","The Ain perceives with noble sight, the Ra carries her in mercy and motion as one who visits, and the Ya reaches outward in courteous greeting; the closing Ta of completion finishes her as a dignified feminine form.",0,0,0,0,1,836,0,4,,1,1,1,1,0,1,1,0,0
aaliya,Aaliya,عالية,عالیہ,Female,Female,Female,Female,Aaliya is a girl name in Islam. Elevated — R&B/Western Muslim spelling.,Arabic,5,Ain · Alif · Lam · Ya · Ta,Elevated — R&B/Western Muslim spelling,"ع-ل-و — From ʿ-l-w, to be high, exalted — the same root as ʿālī, al-ʿAlī (the Most High), and ʿulūw (elevation).","Ain perceives, Alif anchors the One, Lam joins what is below to what is above, Ya reaches in yearning, final Ta seals the form. Perception, origin, joining, reaching, manifestation — exaltation taking shape.",0,0,0,2,0,1252,0,1,,1,1,1,1,0,0,0,2,2
aamir,Aamir,عامر,عامر,Male,Male,Male,Male,Aamir is a boy name in Islam. Prosperous.,Arabic,4,Ain · Alif · Meem · Ra,Prosperous.,"ع-م-ر — From ʿ-m-r, to inhabit, build, prosper — the same root as ʿumr (lifespan), ʿimāra (building), and the place-name ʿUmar.","Ain perceives, Alif stands as origin, Meem is the water of love that nourishes, Ra is mercy in motion. Perception, origin, love, mercy-in-motion — a builder of inhabited places, a maker of homes.",0,0,0,3,0,1260,3,0,,1,1,1,1,0,0,0,3,3
aamira,Aamira,عامرة,عامرہ,Female,Female,Female,Female,"Aamira is a girl name in Islam. Princess, full of life — the prosperous leader who commands with vitality.",Arabic,5,Ain · Alif · Meem · Ra · Ta,"Princess, full of life — the prosperous leader who commands with vitality","ع-م-ر — From the root ʿ-m-r meaning to inhabit, to flourish, to make prosperous. ʿĀmira is the woman who fills a place with life and cultivation.","The Ain perceives the life that needs tending, the Meem of love and motherhood pours nurture into the place, and the Ra of mercy and motion sets that life flowing; the final Ta of completion seals her as a flourishing feminine form.",0,0,0,0,1,915,0,2,,1,1,1,1,0,0,1,0,0
aaqib,Aaqib,عاقب,عاقب,Male,Male,Male,Male,"Aaqib is a boy name in Islam. The follower, the last — one of the Prophet titles. Al-Aqib:.",Arabic,4,Ain · Alif · Qaf · Ba,"The follower, the last — one of the Prophet titles. Al-Aqib","ع-ق-ب — From ʿ-q-b, to follow after, succeed — ʿāqib is the one who comes after, a title given to the Prophet as the last-coming successor.","Ain perceives, Alif is origin, Qaf reaches the heart and follows close, Ba is the embodiment of what was promised. Perception, origin, nearness, embodiment — the one who comes after and brings the matter to its conclusion.",0,0,0,1,0,1316,4,0,,1,1,1,1,0,0,0,1,1
aariz,Aariz,عارض,عارض,Male,Male,Male,Male,"Aariz is a boy name in Islam. Respectable, respected — from root ain-r-dh (ardha — to be w.",Arabic,4,Ain · Alif · Ra · Dad,"Respectable, respected — from root ain-r-dh (ardha — to be w","ع-ر-ض — From the root ʿ-r-ḍ meaning to display, to present, to come forward. ʿĀriḍ also names the broad cloud that appears across the horizon.","The Ain of perceiving opens an inner sight that sees what is presented, the Ra carries the cloud in motion and mercy across the sky, and the Dad gives that motion a luminous strength. The Alif of origin steadies the whole as one who comes forward with dignity.",0,0,0,0,1,1283,1,0,,1,1,1,1,0,0,1,0,0
aatika,Aatika,عاتكة,عاتکہ,Female,Female,Female,Female,"Aatika is a girl name in Islam. Pure, clear — companion Atika bint Abd al-Muttalib, Prophet .",Arabic,5,Ain · Alif · Ta · Kaf · Ta,"Pure, fragrant, set free — borne by the Prophet's aunt","ع-ت-ق — From ʿ-t-q, to be ancient, noble, freed — ʿātika is the pure, the freed one, sharing the root with ʿitq (manumission) and ʿatīq (ancient, noble).","Ain perceives, Alif is origin, Ta-light inscribes a witness, Kaf is the kun of creation, final Ta the completion. Perception, origin, inscribing, creativity, manifestation — a noble freedom written into being.",0,0,0,1,0,1238,0,2,,1,1,1,1,0,0,0,1,1
